"TENLLD Tenure and Landlord Type","Owned outright","Owned with a mortgage","Rented: Real estate agent","Rented: State or territory housing authority","Rented: Community housing provider","Rented: Person not in same household","Rented: Other landlord type","Rented: Landlord type not stated","Other tenure type","Tenure type not stated","Tenure type not applicable","Total",
"Sussex Inlet - Berrara",1226,425,214,6,11,108,20,7,63,181,1187,3448,
"Tomerong - Wandandian - Woollamia",611,518,38,0,0,74,16,0,17,87,181,1541,
"Ulladulla",3621,1742,873,103,152,399,54,8,111,432,2098,9602,
"Ulladulla Surrounds",1517,623,117,0,0,122,40,5,59,167,1681,4340,
"Bowral",3004,1424,631,46,68,177,32,10,204,198,644,6446,
"Hill Top - Colo Vale",669,1178,210,0,6,78,5,0,20,78,144,2384,
"Mittagong",1658,1347,752,64,70,152,41,4,96,199,335,4708,
"Moss Vale - Berrima",1620,1344,606,116,128,176,34,7,57,216,343,4651,
"Robertson - Fitzroy Falls",757,464,96,0,0,86,16,0,34,105,303,1862,
"Southern Highlands",1531,910,210,0,0,123,22,0,83,161,534,3579,
"Baulkham Hills - East",2563,3468,1784,47,17,236,17,3,119,229,549,9032,
"Baulkham Hills (West) - Bella Vista",2598,2960,1002,26,9,153,20,5,62,178,379,7389,
"Glenhaven",912,808,81,0,0,43,10,3,283,47,76,2269,
"West Pennant Hills",1838,1620,318,11,29,78,6,3,50,75,111,4135,
"Castle Hill - Central",848,930,700,3,0,101,13,0,26,46,152,2827,
"Castle Hill - East",582,572,121,0,94,21,4,18,364,80,251,2110,
"Castle Hill - North",1549,1506,556,47,7,100,15,0,64,108,207,4168,
"Castle Hill - South",1144,1225,898,0,3,112,14,3,28,105,206,3745,
"Castle Hill - West",545,760,185,0,0,30,6,0,9,23,38,1605,
"Cherrybrook",2349,2552,721,0,20,118,17,0,120,115,202,6215,
"Kellyville - East",1556,2759,731,0,0,105,20,0,31,99,165,5478,
"Kellyville - West",599,1723,833,0,4,89,20,3,212,107,253,3842,
"Dural - Kenthurst - Wisemans Ferry",3005,2681,538,5,13,260,68,4,186,255,482,7497,
"Galston - Laughtondale",792,640,101,0,9,99,15,0,95,77,137,1968,
"Bilpin - Colo - St Albans",438,457,36,0,0,44,8,0,46,116,403,1544,
"Kurrajong Heights - Ebenezer",2609,3548,553,0,12,248,58,3,71,228,305,7637,
"Pitt Town - McGraths Hill",1414,1526,362,0,0,145,55,5,59,172,170,3913,
"Box Hill - Nelson",366,2047,553,0,0,43,10,4,13,95,128,3256,
"North Kellyville",688,2936,1256,5,0,106,36,4,27,160,237,5458,
"Rouse Hill - Beaumont Hills",1131,2867,914,15,22,106,31,0,23,95,165,5382,
"Blacktown (East) - Kings Park",1070,1745,2223,201,81,347,57,16,76,445,643,6902,
"Blacktown (North) - Marayong",1517,2282,1749,507,35,338,74,18,70,428,416,7435,
"Doonside - Woodcroft",1579,2810,1200,914,59,274,38,19,69,458,281,7706,
"Lalor Park - Kings Langley",2464,3328,1477,714,66,341,33,27,108,516,478,9553,
"Blacktown - South",1080,1437,1005,209,16,201,43,14,41,255,202,4499,
"Blacktown - West",1326,1833,1530,85,30,280,47,20,68,428,337,5984,
"Seven Hills - Prospect",1520,1884,1056,184,19,208,22,11,44,273,254,5477,
"Toongabbie - West",867,1464,936,275,54,108,19,5,33,215,248,4219,
"Glenwood",1101,2442,752,3,0,112,18,0,37,101,93,4651,
"Acacia Gardens",232,654,190,0,0,32,3,0,3,19,19,1151,
"Quakers Hill",1579,3640,1876,159,8,220,35,10,40,299,282,8151,
"Kellyville Ridge - The Ponds",929,3542,1167,6,8,107,57,3,135,151,191,6294,
"Marsden Park - Shanes Park",467,3071,747,0,0,79,21,0,27,212,122,4749,
"Riverstone",719,2087,1160,76,67,148,30,6,46,263,223,4811,
"Schofields (West) - Colebee",275,1844,563,0,0,67,19,3,13,120,92,3002,
"Schofields - East",433,4124,2742,3,0,165,30,10,38,444,604,8601,
