Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"SA2 (EN) by HOSD Housing Suitability"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"HOSD Housing Suitability","Four or more extra bedrooms needed","Three extra bedrooms needed","Two extra bedrooms needed","One extra bedroom needed","No bedrooms needed or spare","One bedroom spare","Two bedrooms spare","Three bedrooms spare","Four or more bedrooms spare","Unable to determine","Not stated","Not applicable","Total",
"SA2 (EN)",
"Tumut Surrounds",0,0,4,27,208,480,637,264,45,71,34,537,2312,
"Cootamundra",0,0,7,42,315,932,1184,480,77,60,62,619,3784,
"Gundagai",0,0,8,32,155,327,444,226,38,59,24,406,1732,
"Junee",3,0,9,49,239,576,736,308,50,58,54,415,2493,
"Temora",0,0,0,38,346,709,987,354,65,81,52,599,3231,
"Wagga Wagga - East",0,5,18,111,631,1819,2037,1228,202,193,77,724,7035,
"Wagga Wagga - North",0,0,4,26,228,582,578,245,24,59,21,241,2009,
"Wagga Wagga - South",0,11,37,160,1028,2455,2896,1259,148,266,108,971,9327,
"Wagga Wagga - West",3,5,35,104,861,1952,1419,337,51,126,97,980,5965,
"Wagga Wagga Surrounds",0,0,13,93,645,1546,2115,1033,197,219,113,1025,7009,
"Berry - Kangaroo Valley",0,0,5,55,416,1177,1233,700,160,96,57,1182,5076,
"Callala Bay - Currarong",0,0,3,18,135,338,544,356,39,43,8,1613,3109,
"Culburra Beach",0,0,15,45,255,646,746,317,66,59,38,1334,3515,
"Ettrema - Sassafras - Budawang",0,0,0,0,9,5,6,0,0,0,0,26,49,
"Huskisson - Vincentia",0,0,0,16,151,481,785,474,59,36,9,1630,3655,
"North Nowra - Bomaderry",0,0,6,89,729,1814,2095,1124,171,149,70,721,6969,
"Nowra",0,9,36,189,1159,2272,2449,1217,145,222,166,1195,9050,
"St Georges Basin - Erowal Bay",0,7,11,80,676,1880,2365,857,95,139,96,2068,8271,
"Sussex Inlet - Berrara",0,0,5,24,242,640,701,310,49,33,81,1359,3448,
"Tomerong - Wandandian - Woollamia",0,3,3,18,159,284,437,243,63,33,13,276,1541,
"Ulladulla",0,0,14,90,772,1799,2548,1299,203,150,98,2629,9602,
"Ulladulla Surrounds",0,3,4,39,251,650,840,362,78,64,49,1990,4340,
"Bowral",0,3,14,38,435,1304,1955,1360,292,108,56,880,6446,
"Hill Top - Colo Vale",0,0,5,42,273,539,794,362,56,69,34,208,2384,
"Mittagong",0,4,15,80,468,1113,1428,767,124,104,55,547,4708,
"Moss Vale - Berrima",0,3,9,46,461,1125,1402,736,123,117,61,560,4651,
"Robertson - Fitzroy Falls",0,0,0,17,135,307,481,307,82,48,21,461,1862,
"Southern Highlands",0,3,4,49,264,606,977,614,161,76,33,784,3579,
"Baulkham Hills - East",4,3,18,242,1461,2900,2322,939,184,169,79,716,9032,
"Baulkham Hills (West) - Bella Vista",0,7,29,96,870,1872,2030,1403,343,169,44,534,7389,
"Glenhaven",0,0,0,7,129,618,702,484,146,48,21,107,2269,
