"sa2_name_2021","in_wslhd","in_metro","pop_size","australia_total","overseas","not_stated_cob","english","non_english","not_stated_lang"
"Sydney (North) - Millers Point",0,1,8004,3062,4351,602,4381,3005,625
"Sydney (South) - Haymarket",0,1,19935,3170,15300,1445,4371,13861,1706
"Ultimo",0,1,7410,1981,4889,528,2560,4256,559
"Waterloo",0,1,16379,6090,8870,1415,8486,6475,1411
"Zetland",0,1,12622,4075,7931,592,5701,6285,643
"Bondi - Tamarama - Bronte",0,1,19055,10543,7456,1028,14226,3641,1159
"Bondi Beach - North Bondi",0,1,20705,10969,8559,1155,15429,3968,1272
"Bondi Junction - Waverly",0,1,17720,8893,7722,1084,12349,4157,1192
"Centennial Park",0,1,0,0,0,0,0,0,0
"Dover Heights",0,1,11122,5924,4747,440,8162,2469,456
"Paddington - Moore Park",0,1,14793,9595,4586,597,12166,1914,705
"Rose Bay - Vaucluse - Watsons Bay",0,1,11924,7058,4264,612,9215,2039,641
"Woollahra",0,1,7454,4721,2414,277,5941,1102,400
"Bellevue Hill",0,1,14429,8697,5095,585,11312,2433,683
"Double Bay - Darling Point",0,1,9958,5915,3511,521,7884,1525,540
"Kensington (NSW)",0,1,11809,5832,5286,662,6546,4542,703
"Kingsford",0,1,13605,6328,6673,580,6959,5997,623
"Maroubra - North",0,1,9790,5645,3794,341,6074,3118,577
"Maroubra - South",0,1,11084,6077,4284,704,7003,3367,711
"Maroubra - West",0,1,9846,4710,4826,305,5324,4151,346
"Randwick - North",0,1,16206,9403,6222,599,12140,3103,930
"Randwick - South",0,1,12735,6638,5413,667,9118,2922,706
"Coogee - Clovelly",0,1,19521,11623,7032,829,15738,2871,883
"Malabar - La Perouse",0,1,10610,6775,3224,546,6871,2157,1578
"Matraville - Chifley",0,1,13412,8272,4327,720,8981,3658,765
"South Coogee",0,1,5611,3455,1769,339,3999,1275,344
"Bass Hill - Georges Hall",0,1,23855,13808,8046,2005,8723,12874,2236
"Chullora",0,1,1469,664,710,88,405,964,102
"Condell Park",0,1,12773,6740,5155,927,3721,8069,993
"Padstow",0,1,17200,10321,6108,726,9312,7111,780
"Revesby",0,1,17664,10133,6705,789,8441,8331,889
"Yagoona - Birrong",0,1,22484,11055,9946,1471,6310,14543,1610
"Bankstown - North",0,1,16981,6214,9564,1179,3227,12420,1300
"Bankstown - South",0,1,18434,6625,10377,1416,3173,13589,1639
"Greenacre - North",0,1,14637,7680,5884,1061,4205,9287,1115
"Greenacre - South",0,1,13416,7090,5398,935,3225,9139,1051
"Panania (North) - Milperra",0,1,11340,7907,3090,349,7264,3618,422
"Panania (South) - Picnic Point",0,1,15994,11234,4222,484,10354,5101,520
"Belmore - Belfield",0,1,20332,9827,9129,1346,6781,11921,1614
"Punchbowl",0,1,21544,9788,10167,1533,4951,14891,1663
