"2-digit level ANC1P Ancestry 1st Response","Oceanian, nfd","Australian Peoples","New Zealand Peoples","Melanesian and Papuan","Micronesian","Polynesian","North-West European, nfd","British","Irish","Western European","Northern European","Southern and Eastern European, nfd","Southern European","South Eastern European","Eastern European","North African and Middle Eastern, nfd","Arab","Jewish","Peoples of the Sudan","Other North African and Middle Eastern","South-East Asian, nfd","Mainland South-East Asian","Maritime South-East Asian","North-East Asian, nfd","Chinese Asian","Other North-East Asian","Southern and Central Asian, nfd","Southern Asian","Central Asian","Peoples of the Americas, nfd","North American","South American","Central American","Caribbean Islander","Sub-Saharan African, nfd","Central and West African","Southern and East African","Inadequately described","So described, nfd","Not stated","Total",
"SA2 (UR)",
"Nyngan - Warren",0,1916,6,3,0,10,0,1670,289,39,0,0,14,9,11,0,8,0,0,0,0,14,29,0,20,3,0,41,0,0,4,0,0,0,0,0,12,3,8,476,4591,
"Walgett - Lightning Ridge",0,2056,10,0,0,0,0,1379,229,108,20,0,26,94,44,0,0,0,0,9,0,9,35,0,23,3,0,56,0,0,5,5,0,0,0,4,5,5,3,1408,5534,
"Broken Hill",0,6614,26,12,0,22,0,7081,846,319,26,0,415,82,29,4,21,0,0,7,0,20,192,0,40,9,0,115,7,0,8,12,0,0,0,0,26,14,14,1628,17588,
"Far West",0,1039,8,0,0,16,0,666,91,45,0,0,13,0,6,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,391,2288,
"Coonabarabran",0,2698,14,0,0,4,0,3307,350,168,11,0,59,14,17,0,7,3,0,0,0,8,23,0,34,5,0,36,0,0,5,6,0,0,0,0,6,7,3,1133,7921,
"Dubbo - East",0,4366,16,16,0,12,0,3785,453,158,8,0,90,18,12,0,15,0,0,8,0,8,81,0,64,10,0,450,0,0,9,0,0,0,0,0,22,7,14,993,10633,
"Dubbo - South",3,6825,48,0,0,35,0,7308,1094,259,16,0,175,43,64,0,46,0,0,20,0,64,178,0,211,40,0,1379,7,0,11,23,0,0,0,15,73,26,67,1581,19628,
"Dubbo - West",0,4038,14,4,0,24,0,3794,472,147,5,0,78,24,28,4,23,0,0,3,0,31,93,0,105,15,0,340,0,0,11,9,0,0,0,15,58,12,24,955,10317,
"Dubbo Surrounds",0,2366,14,0,0,0,0,2482,314,108,4,0,39,8,13,0,6,0,0,0,0,0,9,0,4,0,0,0,0,0,12,0,0,0,0,0,5,4,0,563,5963,
"Gilgandra",0,1765,12,0,0,0,0,1716,230,68,3,0,16,5,10,0,0,0,0,0,0,3,12,0,9,0,0,18,0,0,0,0,0,0,0,0,0,4,4,519,4398,
"Narromine",0,2677,10,0,0,0,0,2369,287,87,10,0,45,10,7,0,3,0,0,0,0,6,22,0,10,0,0,19,0,0,7,8,0,0,0,0,10,3,0,867,6458,
"Wellington",0,3305,10,0,0,3,0,2913,395,143,7,0,75,11,25,0,8,0,0,4,0,17,43,0,31,8,0,37,5,0,7,20,0,0,0,0,0,10,10,1675,8769,
"Branxton - Greta - Pokolbin",0,4262,44,0,0,5,0,5996,741,330,18,0,216,42,142,0,20,0,0,9,0,69,57,0,65,7,0,83,0,0,13,3,0,0,0,0,31,19,17,575,12770,
"Cessnock",0,8007,55,0,0,16,0,10161,987,418,22,0,228,51,81,0,26,0,3,7,0,86,108,0,98,17,0,126,3,0,19,21,3,0,0,0,25,19,11,2908,23495,
"Cessnock Surrounds",0,3205,19,0,0,0,0,4378,485,199,23,0,123,28,43,0,8,0,0,5,0,4,19,0,37,4,0,22,0,0,9,8,0,0,0,0,11,8,0,514,9145,
"Dungog",0,3589,14,0,0,7,0,4518,511,192,13,0,88,27,40,0,0,4,0,0,0,0,20,0,22,0,0,6,0,0,7,3,0,0,0,0,3,9,3,464,9541,
"Kurri Kurri - Abermain",0,7754,33,0,0,28,0,9529,918,402,25,0,185,61,75,0,14,0,0,4,0,50,139,0,47,15,0,119,0,0,19,7,0,0,0,3,19,18,11,1138,20631,
"Singleton",0,6009,112,13,0,42,0,7550,898,393,19,0,185,28,55,0,6,0,0,8,0,84,186,0,103,4,0,128,0,0,7,10,0,0,0,8,84,15,18,1065,17018,
"Singleton Surrounds",0,2038,8,0,0,0,0,2272,233,131,5,0,60,11,17,0,5,0,0,3,0,0,13,0,11,0,0,9,0,0,4,3,0,0,0,0,27,10,6,465,5332,
"Maitland",0,3024,26,0,0,7,0,3861,429,192,15,0,107,42,39,0,18,0,14,3,0,10,72,0,62,16,0,180,0,0,6,3,3,0,0,3,32,13,22,404,8611,
"Maitland - North",0,2881,20,0,0,6,0,4336,584,201,4,0,83,37,38,0,18,5,7,3,0,21,27,0,37,5,0,25,0,0,6,12,0,0,0,0,34,8,4,343,8727,
"East Maitland - Metford",0,5740,49,5,0,45,0,8335,966,355,25,0,205,89,161,3,30,0,14,33,0,65,195,0,249,17,0,317,9,0,16,27,11,0,0,12,67,13,40,874,17981,
